date,sido,sigungu,area_ha,cause_type,cause_detail
2022-02-11,충남,충남,0.06,입,기타(직접입력)
2022-02-11,부산,부산,0.04,기,기타(직접입력)
2022-02-11,경남,경남,0.06,쓰,쓰레기소각
2022-02-12,충북,충북,1.8,입,기타(직접입력)
2022-02-12,경기,경기,0.5,기,기타(직접입력)
2022-02-12,충북,충북,1.47,기,기타(직접입력)
2022-02-12,전남,전남,0.1,,논밭두렁소각
2022-02-12,부산,부산,0.01,기,기타(직접입력)
2022-02-12,세종,세종,0.03,기,기타(직접입력)
2022-02-12,남부,경남,0.24,입,기타(직접입력)
2022-02-12,강원,강원,0.1,기,기타(직접입력)
2022-02-12,전남,전남,0.4,입,기타(직접입력)
2022-02-12,전남,전남,0.2,기,기타(직접입력)
2022-02-12,경기,경기,0.17,기,기타(직접입력)
2022-02-13,전북,전북,0.5,입,기타(직접입력)
2022-02-13,경기,경기,0.03,,주택화재비화
2022-02-13,전북,전북,0.01,입,기타(직접입력)
2022-02-13,부산,부산,0.02,기,기타(직접입력)
2022-02-13,강원,강원,0.05,쓰,쓰레기소각
2022-02-13,경기,경기,0.03,기,기타(직접입력)
2022-02-14,충남,충남,0.3,기,기타(직접입력)
2022-02-14,강원,강원,0.4,,주택화재비화
2022-02-14,경남,경남,0.5,쓰,쓰레기소각
2022-02-14,경북,경북,0.1,,농산폐기물소각
2022-02-15,경북,경북,405.69,기,기타(직접입력)
2022-02-15,경남,경남,1.5,담,담뱃불실화
2022-02-15,경북,경북,8.53,,주택화재비화
2022-02-15,경남,경남,0.5,쓰,쓰레기소각
2022-02-15,전북,전북,0.03,입,기타(직접입력)
2022-02-16,북부,경기,0.01,입,기타(직접입력)
2022-02-16,부산,부산,0.2,,주택화재비화
2022-02-16,경북,경북,0.67,쓰,쓰레기소각
2022-02-16,경기,경기,0.15,담,담뱃불실화
2022-02-16,경기,경기,0.06,기,기타(직접입력)
2022-02-18,경기,경기,0.16,담,담뱃불실화
2022-02-18,경남,경남,0.09,,주택화재비화
2022-02-18,충남,충남,0.05,입,기타(직접입력)
2022-02-18,전남,전남,0.3,입,기타(직접입력)
2022-02-19,경기,경기,0.01,입,기타(직접입력)
2022-02-19,강원,강원,0.2,기,기타(직접입력)
2022-02-19,전북,전북,0.1,입,기타(직접입력)
2022-02-19,경기,경기,0.1,,논밭두렁소각
2022-02-19,충남,충남,0.03,,주택화재비화
2022-02-19,충남,충남,0.3,입,기타(직접입력)
2022-02-20,경북,경북,0.96,기,방화
2022-02-20,충북,충북,0.1,입,기타(직접입력)
2022-02-20,경남,경남,0.07,입,기타(직접입력)
2022-02-20,경기,경기,0.03,입,기타(직접입력)
2022-02-20,경기,경기,0.01,입,기타(직접입력)
2022-02-21,서부,전북,0.3,입,기타(직접입력)
2022-02-21,울산,울산,0.3,,농산폐기물소각
2022-02-21,전남,전남,0.3,담,담뱃불실화
2022-02-21,강원,강원,0.1,,기타(직접입력)
2022-02-21,충남,충남,0.01,입,기타(직접입력)
2022-02-21,충북,충북,0.15,입,기타(직접입력)
2022-02-22,경기,경기,0.06,기,기타(직접입력)
2022-02-22,경기,경기,0.03,기,기타(직접입력)
2022-02-22,경북,경북,9.2,기,기타(직접입력)
2022-02-22,전북,전북,16.5,입,기타(직접입력)
2022-02-22,경기,경기,0.03,쓰,쓰레기소각
2022-02-22,경기,경기,0.1,기,기타(직접입력)
2022-02-22,경북,경북,0.23,,주택화재비화
2022-02-22,강원,강원,3.95,쓰,쓰레기소각
2022-02-23,경북,경북,0.1,기,기타(직접입력)
2022-02-23,경기,경기,3.0,쓰,쓰레기소각
2022-02-23,동부,강원,0.16,기,기타(직접입력)
2022-02-23,경남,경남,0.3,,주택화재비화
2022-02-23,경북,경북,0.2,기,기타(직접입력)
2022-02-24,경기,경기,0.09,담,담뱃불실화
2022-02-24,광주,광주,0.08,입,기타(직접입력)
2022-02-24,경남,경남,10.2,기,작업장실화
2022-02-24,강원,강원,0.09,기,기타(직접입력)
2022-02-24,강원,강원,4.1,기,작업장실화
2022-02-24,강원,강원,1.0,기,기타(직접입력)
2022-02-24,서울,서울,0.6,기,기타(직접입력)
2022-02-24,충남,충남,0.2,기,기타(직접입력)
2022-02-24,강원,강원,0.6,기,작업장실화
2022-02-24,충남,충남,0.15,입,기타(직접입력)
2022-02-24,경기,경기,0.5,기,기타(직접입력)
2022-02-24,인천,인천,0.14,기,기타(직접입력)
2022-02-24,경북,경북,0.3,기,기타(직접입력)
2022-02-25,경남,경남,0.11,기,기타(직접입력)
2022-02-25,충북,충북,0.2,입,기타(직접입력)
2022-02-25,울산,울산,0.2,,기타(직접입력)
2022-02-25,전남,전남,2.0,,농산폐기물소각
2022-02-25,전남,전남,0.5,기,기타(직접입력)
2022-02-25,전남,전남,29.0,기,기타(직접입력)
2022-02-25,경북,경북,0.91,기,기타(직접입력)
2022-02-25,경남,경남,8.03,입,기타(직접입력)
2022-02-26,경북,경북,18.5,입,기타(직접입력)
2022-02-26,대구,대구,88.63,입,기타(직접입력)
2022-02-26,경북,경북,0.2,기,기타(직접입력)
2022-02-26,강원,강원,8.69,기,기타(직접입력)
2022-02-26,남부,부산,0.05,입,기타(직접입력)
2022-02-26,인천,인천,0.06,기,기타(직접입력)
2022-02-26,남부,경북,0.86,기,기타(직접입력)
2022-02-26,충북,충북,0.5,입,기타(직접입력)
2022-02-26,전남,전남,2.0,쓰,쓰레기소각
2022-02-26,강원,강원,0.06,기,기타(직접입력)
2022-02-26,전남,전남,0.2,기,성묘객실화
2022-02-27,울산,울산,0.3,입,기타(직접입력)
2022-02-27,경북,경북,0.12,기,작업장실화
2022-02-27,충남,충남,0.05,입,기타(직접입력)
2022-02-27,충남,충남,1.5,입,기타(직접입력)
2022-02-27,경북,경북,0.2,,농산폐기물소각
2022-02-27,충남,충남,0.2,입,기타(직접입력)
2022-02-27,경기,경기,0.02,쓰,쓰레기소각
2022-02-27,울산,울산,2.0,입,기타(직접입력)
2022-02-27,충북,충북,0.03,입,기타(직접입력)
2022-02-27,충남,충남,0.14,,농산폐기물소각
2022-02-28,전북,전북,0.1,,논밭두렁소각
2022-02-28,경기,경기,0.03,,농산폐기물소각
2022-02-28,경남,경남,813.89,입,기타(직접입력)
2022-02-28,전남,전남,0.1,입,기타(직접입력)
2022-02-28,충북,충북,0.02,입,기타(직접입력)
