Feature_Set,Model,N_Features,ROC_AUC,PR_AUC,Precision_05,Recall_05,F1_05,TopK_Recall_5pct,TopK_Detected_5pct,TopK_Recall_10pct,TopK_Detected_10pct,TopK_Recall_20pct,TopK_Detected_20pct,TN,FP,FN,TP
v2_baseline,LogReg,11,0.8449567951873119,0.03435809786770309,0.01721051906925513,0.8333333333333334,0.03372453797382976,0.3,45,0.47333333333333333,71,0.7066666666666667,106,17242,7138,25,125
v2_baseline,LightGBM,11,0.827876127973749,0.031943022342332136,0.023418491484184914,0.5133333333333333,0.0447934845840605,0.29333333333333333,44,0.44666666666666666,67,0.6666666666666666,100,21169,3211,73,77
v2_baseline,XGBoost,11,0.8368697019414821,0.02914521036956728,0.023344328850545548,0.6133333333333333,0.044976778293815696,0.2866666666666667,43,0.4533333333333333,68,0.7066666666666667,106,20531,3849,58,92
v3a,LogReg,29,0.866727372162975,0.03861783939499847,0.01828554710356934,0.8333333333333334,0.035785857429144,0.36,54,0.5533333333333333,83,0.7733333333333333,116,17669,6711,25,125
v3a,LightGBM,29,0.8746509433962264,0.06633041646768931,0.03420445810914681,0.5933333333333334,0.06468023255813954,0.42,63,0.5733333333333334,86,0.7866666666666666,118,21867,2513,61,89
v3a,XGBoost,29,0.8781141646158053,0.06857713334702467,0.028840494408475574,0.6533333333333333,0.0552423900789177,0.3933333333333333,59,0.5933333333333334,89,0.78,117,21080,3300,52,98
