Feature_Set,Model,Feature,Importance
v3a,XGBoost,WeekendRisk,0.015544905327260494
v3a,XGBoost,imsang_ForestRatio,0.031292084604501724
v3a,XGBoost,imsang_ConiferRatio,0.027273530140519142
v3a,XGBoost,imsang_BroadleafRatio,0.02317173406481743
v3a,XGBoost,imsang_MixedRatio,0.03859852999448776
v3a,XGBoost,imsang_BambooRatio,0.03243832290172577
v3a,XGBoost,imsang_NonForestRatio,0.03023296594619751
v3a,XGBoost,imsang_ForestRiskScore,0.045956045389175415
v3a,XGBoost,dem_MeanElevation,0.028103768825531006
v3a,XGBoost,dem_MaxElevation,0.032220132648944855
v3a,XGBoost,dem_MinElevation,0.03284139186143875
v3a,XGBoost,dem_MeanSlope,0.022183259949088097
v3a,XGBoost,dem_MaxSlope,0.034054599702358246
v3a,XGBoost,dem_NorthRatio,0.029462026432156563
v3a,XGBoost,dem_EastRatio,0.034183088690042496
v3a,XGBoost,dem_SouthRatio,0.030152877792716026
v3a,XGBoost,dem_WestRatio,0.03620794788002968
v3a,XGBoost,dem_FlatRatio,0.04114057123661041
v3a,XGBoost,dem_TerrainRiskScore,0.03677349165081978
